[SchoolYearCode]+' School Year',County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid9,Organizationid10,OrganizationLevel (PublicDirectory),OrganizationName,QualitificationName,School Code,School Name,School Organization Id,SchoolYear,SchoolYearCode,teacher/teachers,Teacher Count,Teacher Percent,Teacher Total Count
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Green Lake Elementary School,2061,101036,101036,School,Green Lake Elementary School,Limited Certificate status,2061.0,Green Lake Elementary School,101036.0,2018-19,2018-19,teachers,4,11.4%,35
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Green Lake Elementary School,2061,101036,101036,School,Green Lake Elementary School,Out-of-Field status,2061.0,Green Lake Elementary School,101036.0,2018-19,2018-19,teachers,3,8.1%,37
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Greenwood Elementary School,2123,101053,101053,School,Greenwood Elementary School,Inexperienced status,2123.0,Greenwood Elementary School,101053.0,2018-19,2018-19,teachers,5,20.8%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Greenwood Elementary School,2123,101053,101053,School,Greenwood Elementary School,Limited Certificate status,2123.0,Greenwood Elementary School,101053.0,2018-19,2018-19,teachers,0,0.0%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Greenwood Elementary School,2123,101053,101053,School,Greenwood Elementary School,Out-of-Field status,2123.0,Greenwood Elementary School,101053.0,2018-19,2018-19,teachers,0,0.0%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hamilton International Middle School,2371,101086,101086,School,Hamilton International Middle School,Inexperienced status,2371.0,Hamilton International Middle School,101086.0,2018-19,2018-19,teachers,20,33.9%,59
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hamilton International Middle School,2371,101086,101086,School,Hamilton International Middle School,Limited Certificate status,2371.0,Hamilton International Middle School,101086.0,2018-19,2018-19,teachers,3,4.9%,61
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hamilton International Middle School,2371,101086,101086,School,Hamilton International Middle School,Out-of-Field status,2371.0,Hamilton International Middle School,101086.0,2018-19,2018-19,teachers,7,10.6%,66
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hawthorne Elementary School,4248,101174,101174,School,Hawthorne Elementary School,Inexperienced status,4248.0,Hawthorne Elementary School,101174.0,2018-19,2018-19,teachers,14,45.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hawthorne Elementary School,4248,101174,101174,School,Hawthorne Elementary School,Limited Certificate status,4248.0,Hawthorne Elementary School,101174.0,2018-19,2018-19,teachers,1,3.1%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hawthorne Elementary School,4248,101174,101174,School,Hawthorne Elementary School,Out-of-Field status,4248.0,Hawthorne Elementary School,101174.0,2018-19,2018-19,teachers,2,6.3%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hazel Wolf K-8,5175,104944,104944,School,Hazel Wolf K-8,Inexperienced status,5175.0,Hazel Wolf K-8,104944.0,2018-19,2018-19,teachers,6,12.0%,50
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hazel Wolf K-8,5175,104944,104944,School,Hazel Wolf K-8,Limited Certificate status,5175.0,Hazel Wolf K-8,104944.0,2018-19,2018-19,teachers,1,2.0%,50
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Hazel Wolf K-8,5175,104944,104944,School,Hazel Wolf K-8,Out-of-Field status,5175.0,Hazel Wolf K-8,104944.0,2018-19,2018-19,teachers,3,5.7%,53
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Highland Park Elementary School,2269,101077,101077,School,Highland Park Elementary School,Inexperienced status,2269.0,Highland Park Elementary School,101077.0,2018-19,2018-19,teachers,13,41.9%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Highland Park Elementary School,2269,101077,101077,School,Highland Park Elementary School,Limited Certificate status,2269.0,Highland Park Elementary School,101077.0,2018-19,2018-19,teachers,2,6.5%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Highland Park Elementary School,2269,101077,101077,School,Highland Park Elementary School,Out-of-Field status,2269.0,Highland Park Elementary School,101077.0,2018-19,2018-19,teachers,0,0.0%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ingraham High School,3276,101123,101123,School,Ingraham High School,Inexperienced status,3276.0,Ingraham High School,101123.0,2018-19,2018-19,teachers,25,30.1%,83
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ingraham High School,3276,101123,101123,School,Ingraham High School,Limited Certificate status,3276.0,Ingraham High School,101123.0,2018-19,2018-19,teachers,12,12.8%,94
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Ingraham High School,3276,101123,101123,School,Ingraham High School,Out-of-Field status,3276.0,Ingraham High School,101123.0,2018-19,2018-19,teachers,18,17.8%,101
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Open Doors,5405,105909,105909,School,Interagency Open Doors,Inexperienced status,5405.0,Interagency Open Doors,105909.0,2018-19,2018-19,teachers,1,50.0%,2
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Open Doors,5405,105909,105909,School,Interagency Open Doors,Limited Certificate status,5405.0,Interagency Open Doors,105909.0,2018-19,2018-19,teachers,0,0.0%,2
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Open Doors,5405,105909,105909,School,Interagency Open Doors,Out-of-Field status,5405.0,Interagency Open Doors,105909.0,2018-19,2018-19,teachers,2,50.0%,4
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Programs,1635,100996,100996,School,Interagency Programs,Inexperienced status,1635.0,Interagency Programs,100996.0,2018-19,2018-19,teachers,15,34.1%,44
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Programs,1635,100996,100996,School,Interagency Programs,Limited Certificate status,1635.0,Interagency Programs,100996.0,2018-19,2018-19,teachers,8,16.0%,50
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Programs,1635,100996,100996,School,Interagency Programs,Out-of-Field status,1635.0,Interagency Programs,100996.0,2018-19,2018-19,teachers,21,32.8%,64
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Jane Addams Middle School,5351,105777,105777,School,Jane Addams Middle School,Inexperienced status,5351.0,Jane Addams Middle School,105777.0,2018-19,2018-19,teachers,23,43.4%,53
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Jane Addams Middle School,5351,105777,105777,School,Jane Addams Middle School,Limited Certificate status,5351.0,Jane Addams Middle School,105777.0,2018-19,2018-19,teachers,3,5.4%,56
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Jane Addams Middle School,5351,105777,105777,School,Jane Addams Middle School,Out-of-Field status,5351.0,Jane Addams Middle School,105777.0,2018-19,2018-19,teachers,7,11.7%,60
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Hay Elementary School,2063,101037,101037,School,John Hay Elementary School,Inexperienced status,2063.0,John Hay Elementary School,101037.0,2018-19,2018-19,teachers,17,43.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Hay Elementary School,2063,101037,101037,School,John Hay Elementary School,Limited Certificate status,2063.0,John Hay Elementary School,101037.0,2018-19,2018-19,teachers,1,2.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Hay Elementary School,2063,101037,101037,School,John Hay Elementary School,Out-of-Field status,2063.0,John Hay Elementary School,101037.0,2018-19,2018-19,teachers,1,2.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Muir Elementary School,2143,101058,101058,School,John Muir Elementary School,Inexperienced status,2143.0,John Muir Elementary School,101058.0,2018-19,2018-19,teachers,8,25.8%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Muir Elementary School,2143,101058,101058,School,John Muir Elementary School,Limited Certificate status,2143.0,John Muir Elementary School,101058.0,2018-19,2018-19,teachers,0,0.0%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Muir Elementary School,2143,101058,101058,School,John Muir Elementary School,Out-of-Field status,2143.0,John Muir Elementary School,101058.0,2018-19,2018-19,teachers,1,3.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Rogers Elementary School,2975,101111,101111,School,John Rogers Elementary School,Inexperienced status,2975.0,John Rogers Elementary School,101111.0,2018-19,2018-19,teachers,8,26.7%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Rogers Elementary School,2975,101111,101111,School,John Rogers Elementary School,Limited Certificate status,2975.0,John Rogers Elementary School,101111.0,2018-19,2018-19,teachers,1,3.3%,30
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Rogers Elementary School,2975,101111,101111,School,John Rogers Elementary School,Out-of-Field status,2975.0,John Rogers Elementary School,101111.0,2018-19,2018-19,teachers,1,3.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Stanford International School,2081,101042,101042,School,John Stanford International School,Inexperienced status,2081.0,John Stanford International School,101042.0,2018-19,2018-19,teachers,13,38.2%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Stanford International School,2081,101042,101042,School,John Stanford International School,Limited Certificate status,2081.0,John Stanford International School,101042.0,2018-19,2018-19,teachers,6,16.2%,37
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - John Stanford International School,2081,101042,101042,School,John Stanford International School,Out-of-Field status,2081.0,John Stanford International School,101042.0,2018-19,2018-19,teachers,5,13.2%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Kimball Elementary School,3478,101130,101130,School,Kimball Elementary School,Inexperienced status,3478.0,Kimball Elementary School,101130.0,2018-19,2018-19,teachers,12,33.3%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Kimball Elementary School,3478,101130,101130,School,Kimball Elementary School,Limited Certificate status,3478.0,Kimball Elementary School,101130.0,2018-19,2018-19,teachers,2,5.6%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Kimball Elementary School,3478,101130,101130,School,Kimball Elementary School,Out-of-Field status,3478.0,Kimball Elementary School,101130.0,2018-19,2018-19,teachers,1,2.8%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lafayette Elementary School,2733,101105,101105,School,Lafayette Elementary School,Inexperienced status,2733.0,Lafayette Elementary School,101105.0,2018-19,2018-19,teachers,10,32.3%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lafayette Elementary School,2733,101105,101105,School,Lafayette Elementary School,Limited Certificate status,2733.0,Lafayette Elementary School,101105.0,2018-19,2018-19,teachers,1,3.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lafayette Elementary School,2733,101105,101105,School,Lafayette Elementary School,Out-of-Field status,2733.0,Lafayette Elementary School,101105.0,2018-19,2018-19,teachers,1,3.1%,32
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Laurelhurst Elementary School,2437,101093,101093,School,Laurelhurst Elementary School,Inexperienced status,2437.0,Laurelhurst Elementary School,101093.0,2018-19,2018-19,teachers,9,33.3%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Laurelhurst Elementary School,2437,101093,101093,School,Laurelhurst Elementary School,Limited Certificate status,2437.0,Laurelhurst Elementary School,101093.0,2018-19,2018-19,teachers,3,10.7%,28
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Laurelhurst Elementary School,2437,101093,101093,School,Laurelhurst Elementary School,Out-of-Field status,2437.0,Laurelhurst Elementary School,101093.0,2018-19,2018-19,teachers,3,10.3%,29
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lawton Elementary School,2183,101063,101063,School,Lawton Elementary School,Inexperienced status,2183.0,Lawton Elementary School,101063.0,2018-19,2018-19,teachers,9,26.5%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lawton Elementary School,2183,101063,101063,School,Lawton Elementary School,Limited Certificate status,2183.0,Lawton Elementary School,101063.0,2018-19,2018-19,teachers,0,0.0%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lawton Elementary School,2183,101063,101063,School,Lawton Elementary School,Out-of-Field status,2183.0,Lawton Elementary School,101063.0,2018-19,2018-19,teachers,0,0.0%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Leschi Elementary School,2121,101052,101052,School,Leschi Elementary School,Inexperienced status,2121.0,Leschi Elementary School,101052.0,2018-19,2018-19,teachers,12,33.3%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Leschi Elementary School,2121,101052,101052,School,Leschi Elementary School,Limited Certificate status,2121.0,Leschi Elementary School,101052.0,2018-19,2018-19,teachers,2,5.6%,36
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Leschi Elementary School,2121,101052,101052,School,Leschi Elementary School,Out-of-Field status,2121.0,Leschi Elementary School,101052.0,2018-19,2018-19,teachers,2,5.4%,37
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Licton Springs K-8,3874,101152,101152,School,Licton Springs K-8,Inexperienced status,3874.0,Licton Springs K-8,101152.0,2018-19,2018-19,teachers,11,45.8%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Licton Springs K-8,3874,101152,101152,School,Licton Springs K-8,Limited Certificate status,3874.0,Licton Springs K-8,101152.0,2018-19,2018-19,teachers,2,8.3%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Licton Springs K-8,3874,101152,101152,School,Licton Springs K-8,Out-of-Field status,3874.0,Licton Springs K-8,101152.0,2018-19,2018-19,teachers,3,11.1%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Louisa Boren STEM K-8,5276,105493,105493,School,Louisa Boren STEM K-8,Inexperienced status,5276.0,Louisa Boren STEM K-8,105493.0,2018-19,2018-19,teachers,13,29.5%,44
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Louisa Boren STEM K-8,5276,105493,105493,School,Louisa Boren STEM K-8,Limited Certificate status,5276.0,Louisa Boren STEM K-8,105493.0,2018-19,2018-19,teachers,4,8.9%,45
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Louisa Boren STEM K-8,5276,105493,105493,School,Louisa Boren STEM K-8,Out-of-Field status,5276.0,Louisa Boren STEM K-8,105493.0,2018-19,2018-19,teachers,4,8.3%,48
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lowell Elementary School,3714,101138,101138,School,Lowell Elementary School,Inexperienced status,3714.0,Lowell Elementary School,101138.0,2018-19,2018-19,teachers,17,43.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lowell Elementary School,3714,101138,101138,School,Lowell Elementary School,Limited Certificate status,3714.0,Lowell Elementary School,101138.0,2018-19,2018-19,teachers,1,2.6%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Lowell Elementary School,3714,101138,101138,School,Lowell Elementary School,Out-of-Field status,3714.0,Lowell Elementary School,101138.0,2018-19,2018-19,teachers,0,0.0%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Loyal Heights Elementary School,2462,101096,101096,School,Loyal Heights Elementary School,Inexperienced status,2462.0,Loyal Heights Elementary School,101096.0,2018-19,2018-19,teachers,5,16.1%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Loyal Heights Elementary School,2462,101096,101096,School,Loyal Heights Elementary School,Limited Certificate status,2462.0,Loyal Heights Elementary School,101096.0,2018-19,2018-19,teachers,1,3.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Loyal Heights Elementary School,2462,101096,101096,School,Loyal Heights Elementary School,Out-of-Field status,2462.0,Loyal Heights Elementary School,101096.0,2018-19,2018-19,teachers,2,6.1%,33
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madison Middle School,2435,101091,101091,School,Madison Middle School,Inexperienced status,2435.0,Madison Middle School,101091.0,2018-19,2018-19,teachers,10,18.9%,53
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madison Middle School,2435,101091,101091,School,Madison Middle School,Limited Certificate status,2435.0,Madison Middle School,101091.0,2018-19,2018-19,teachers,2,3.6%,55
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madison Middle School,2435,101091,101091,School,Madison Middle School,Out-of-Field status,2435.0,Madison Middle School,101091.0,2018-19,2018-19,teachers,4,7.0%,57
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madrona K-5 School,2069,101038,101038,School,Madrona K-5 School,Inexperienced status,2069.0,Madrona K-5 School,101038.0,2018-19,2018-19,teachers,13,59.1%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madrona K-5 School,2069,101038,101038,School,Madrona K-5 School,Limited Certificate status,2069.0,Madrona K-5 School,101038.0,2018-19,2018-19,teachers,2,9.1%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Madrona K-5 School,2069,101038,101038,School,Madrona K-5 School,Out-of-Field status,2069.0,Madrona K-5 School,101038.0,2018-19,2018-19,teachers,0,0.0%,22
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Maple Elementary School,2353,101085,101085,School,Maple Elementary School,Inexperienced status,2353.0,Maple Elementary School,101085.0,2018-19,2018-19,teachers,13,30.2%,43
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Maple Elementary School,2353,101085,101085,School,Maple Elementary School,Limited Certificate status,2353.0,Maple Elementary School,101085.0,2018-19,2018-19,teachers,0,0.0%,43
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Maple Elementary School,2353,101085,101085,School,Maple Elementary School,Out-of-Field status,2353.0,Maple Elementary School,101085.0,2018-19,2018-19,teachers,0,0.0%,43
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Martin Luther King Jr. Elementary School,2089,101044,101044,School,Martin Luther King Jr. Elementary School,Inexperienced status,2089.0,Martin Luther King Jr. Elementary School,101044.0,2018-19,2018-19,teachers,11,44.0%,25
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Martin Luther King Jr. Elementary School,2089,101044,101044,School,Martin Luther King Jr. Elementary School,Limited Certificate status,2089.0,Martin Luther King Jr. Elementary School,101044.0,2018-19,2018-19,teachers,2,8.0%,25
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Martin Luther King Jr. Elementary School,2089,101044,101044,School,Martin Luther King Jr. Elementary School,Out-of-Field status,2089.0,Martin Luther King Jr. Elementary School,101044.0,2018-19,2018-19,teachers,1,3.8%,26
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McClure Middle School,3517,101134,101134,School,McClure Middle School,Inexperienced status,3517.0,McClure Middle School,101134.0,2018-19,2018-19,teachers,14,41.2%,34
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McClure Middle School,3517,101134,101134,School,McClure Middle School,Limited Certificate status,3517.0,McClure Middle School,101134.0,2018-19,2018-19,teachers,5,13.2%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McClure Middle School,3517,101134,101134,School,McClure Middle School,Out-of-Field status,3517.0,McClure Middle School,101134.0,2018-19,2018-19,teachers,6,15.0%,40
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McDonald International School,5203,105166,105166,School,McDonald International School,Inexperienced status,5203.0,McDonald International School,105166.0,2018-19,2018-19,teachers,12,38.7%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McDonald International School,5203,105166,105166,School,McDonald International School,Limited Certificate status,5203.0,McDonald International School,105166.0,2018-19,2018-19,teachers,1,3.2%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McDonald International School,5203,105166,105166,School,McDonald International School,Out-of-Field status,5203.0,McDonald International School,105166.0,2018-19,2018-19,teachers,0,0.0%,31
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McGilvra Elementary School,2201,101066,101066,School,McGilvra Elementary School,Inexperienced status,2201.0,McGilvra Elementary School,101066.0,2018-19,2018-19,teachers,5,25.0%,20
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McGilvra Elementary School,2201,101066,101066,School,McGilvra Elementary School,Limited Certificate status,2201.0,McGilvra Elementary School,101066.0,2018-19,2018-19,teachers,2,10.0%,20
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - McGilvra Elementary School,2201,101066,101066,School,McGilvra Elementary School,Out-of-Field status,2201.0,McGilvra Elementary School,101066.0,2018-19,2018-19,teachers,1,5.0%,20
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Mercer International Middle School,3095,101117,101117,School,Mercer International Middle School,Inexperienced status,3095.0,Mercer International Middle School,101117.0,2018-19,2018-19,teachers,31,43.7%,71
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Mercer International Middle School,3095,101117,101117,School,Mercer International Middle School,Limited Certificate status,3095.0,Mercer International Middle School,101117.0,2018-19,2018-19,teachers,11,14.3%,77
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Mercer International Middle School,3095,101117,101117,School,Mercer International Middle School,Out-of-Field status,3095.0,Mercer International Middle School,101117.0,2018-19,2018-19,teachers,18,20.7%,87
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Middle College High School,1547,100973,100973,School,Middle College High School,Inexperienced status,1547.0,Middle College High School,100973.0,2018-19,2018-19,teachers,3,27.3%,11
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Middle College High School,1547,100973,100973,School,Middle College High School,Limited Certificate status,1547.0,Middle College High School,100973.0,2018-19,2018-19,teachers,7,41.2%,17
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Middle College High School,1547,100973,100973,School,Middle College High School,Out-of-Field status,1547.0,Middle College High School,100973.0,2018-19,2018-19,teachers,8,42.1%,19
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Montlake Elementary School,2322,101083,101083,School,Montlake Elementary School,Inexperienced status,2322.0,Montlake Elementary School,101083.0,2018-19,2018-19,teachers,8,33.3%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Montlake Elementary School,2322,101083,101083,School,Montlake Elementary School,Limited Certificate status,2322.0,Montlake Elementary School,101083.0,2018-19,2018-19,teachers,2,8.3%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Montlake Elementary School,2322,101083,101083,School,Montlake Elementary School,Out-of-Field status,2322.0,Montlake Elementary School,101083.0,2018-19,2018-19,teachers,1,4.2%,24
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Nathan Hale High School,3479,101131,101131,School,Nathan Hale High School,Inexperienced status,3479.0,Nathan Hale High School,101131.0,2018-19,2018-19,teachers,22,28.6%,77
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Nathan Hale High School,3479,101131,101131,School,Nathan Hale High School,Limited Certificate status,3479.0,Nathan Hale High School,101131.0,2018-19,2018-19,teachers,8,10.1%,79
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Nathan Hale High School,3479,101131,101131,School,Nathan Hale High School,Out-of-Field status,3479.0,Nathan Hale High School,101131.0,2018-19,2018-19,teachers,14,15.4%,91
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - North Beach Elementary School,3218,101122,101122,School,North Beach Elementary School,Inexperienced status,3218.0,North Beach Elementary School,101122.0,2018-19,2018-19,teachers,14,48.3%,29
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - North Beach Elementary School,3218,101122,101122,School,North Beach Elementary School,Limited Certificate status,3218.0,North Beach Elementary School,101122.0,2018-19,2018-19,teachers,3,10.0%,30
